id,menu_id,child_of,sort,menu_item_text,menu_item_desc,url,target,css_class
1,1,,1,Home,,[base_url]/index.php/home,_self,active
2,1,,2,Contribute,,#,_self,
3,1,2,1,With a story of extreme weather,,#,_self,
4,1,2,2,With a family diary or artifact,,#,_self,
5,1,2,3,With a photo for droughtorflood.org,,#,_self,
6,1,2,4,A People's Archive of Sinking and Melting,,http://www.sinkingandmelting.org/,_blank,active
7,1,2,5,Meet other contributors,,#,_self,
8,1,,3,Place and Planet,,,_self,
9,1,8,1,Agriculture,,#,_self,
10,1,9,1,Landed Farmers Rhythms,,#,_self,
11,1,9,2,Tenant Farmers Rhythms,,#,_self,
12,1,9,3,Technology differences: Seed,,#,_self,
13,1,9,4,Technology differences: Fertilizer/chemicals,,#,_self,
14,1,9,5,Technology differences: Machines,,#,_self,
15,1,8,2,Towns and Cities,,,_self,
16,1,15,1,Migration in and out,,#,_self,
17,1,15,2,Infrastructure,,#,_self,
18,1,15,3,Planning and Technology,,#,_self,
19,1,15,4,Unrest,,#,_self,
20,1,8,3,Disaster Relief,,,_self,
21,1,20,1,Over Time,,#,_self,
22,1,20,2,Citizen Responders and Pro Responders,,#,_self,
23,1,20,3,Climate Refugees-Historical,,#,_self,
24,1,20,4,Climate Refugees-Recent,,#,_self,
25,1,20,5,Climate Refugees-Impending,,#,_self,
26,1,8,4,Animals and Plants,,,_self,
27,1,26,1,American Livestock Breeds Conservancy,,http://www.livestockconservancy.org/,_blank,active
28,1,26,2,Seed Savers Exchange,,http://www.seedsavers.org/,_blank,active
29,1,26,3,Zooniverse-Real Science Online,,https://www.zooniverse.org/,_self,active
30,1,26,4,DNR reports,,#,_self,
31,1,26,5,Hunting and Fishing organizations,,#,_self,
32,1,26,6,Historical Diaries of plant and animal observation,,#,_self,
33,1,26,7,"CLiZEN-
Climate Literacy Zoo Education Network",,http://clizen.org/,_blank,active
34,1,,4,Weather Data,,,_self,
35,1,34,1,Statistics,,,_self,
36,1,35,2,NASA Temperature Data 1820-2011,,[base_url]/index.php/home/view/nasa_1820_2011/3,_self,active
37,3,,1,NASA Home Page,,http://www.nasa.gov/,_blank,active
38,3,,2,NASA Finds 2011 Ninth-Warmest Year on Record,,http://www.nasa.gov/topics/earth/features/2011-temps.html,_blank,active
39,1,35,3,Flood,,#,_self,
40,1,35,4,Drought,,http://droughtmonitor.unl.edu/,_self,active
41,1,35,5,Blizzard,,#,_self,
42,1,35,6,Historical Tornadoes,,http://bit.ly/1hPMg6g,_blank,active
43,1,34,2,Citizen Weather Data Collectors,,,_self,
44,1,41,1,Historical,,#,_self,
45,1,41,2,Contemporary,,#,_self,
46,1,34,3,Professional Weather Data Collectors,,,_self,
47,1,44,1,NOAA,,#,_self,
48,1,44,2,AMA,,#,_self,
49,1,,5,About PWM,,#,_self,
50,2,,1,Linn County,,[base_url]/index.php/home/view/linn/4,_self,active
51,2,,2,Polk County,,#,_self,
52,2,,3,Fremont County,,#,_self,
53,4,,1,Linn County,reset view,[base_url]/index.php/home/view/linn/4,_self,active
54,4,,2,Flood,common categories,,,
55,4,54,3,1929-Williams and Hunting,,#,_self,
56,4,54,4,2008-Midland Supply,,#,_self,
57,4,54,5,1929-2008 Veterans Memorial,,#,_self,
58,4,54,6,1929-2008 Extents,,#,_self,
59,4,,7,Drought,common categories,#,_self,
60,4,,8,Wind,common categories,#,_self,
61,4,60,1,NOAA US Historical Tornados,,"http://www.arcgis.com/home/webmap/viewer.html?webmap=cf638f4685034e779badfa7c0e4e21a5&extent=-96.1833,40.2615,-90.8659,43.4357",_blank,active
62,4,60,2,"Comanche Tornado June 3, 1860",,http://www.crh.noaa.gov/dvn/?n=camanchetornado,_blank,active
63,4,60,3,1960's Cedar Rapids Tornado,,#,_self,
64,4,,9,Cold,common categories,#,_self,
65,4,64,1,"Cedar Valley News, January 7, 1864",,#,_self,
66,4,64,2,Historical Temperatures for Linn County,,#,_self,
