id,iconname,iconurl,iconsize_x,iconsize_y,iconanchor_x,iconanchor_y,popupanchor_x,popupanchor_y,desc
1,WHTextLogo,linn/popups/WHLogo-sm.jpg,444,48,,,,,Williams and Hunting Text Logo
2,Midland,linn/popups/MidlandIcon.png,110,85,,,,,Midland Sign
3,VetsIcon,linn/popups/VetsIcon.png,100,114,,,,,"Veterans Memorial Building, 1927 Sign"
4,WoodbineIcon,harrison/popups/WoodbineWayMarkerIcon.png,100,53,50,53,,,Woodbine Time Capsule Marker
5,PersiaYorkshireIcon,harrison/popups/PersiaYorkshireIcon.png,120,114,,,,,Man Splitting Wood
6,LoganIcon,harrison/popups/LoganIcon.png,120,118,,,,,Logan Iowa Logo
7,Cedar1898TornadoIcon,none,,,,,,,Tornado Path
8,Cedar1965TornadoIcon,none,,,,,,,Tornado Path
9,IdaGroveIcon,ida/popups/IdaGroveIcon.jpg,150,126,,,,,Ida Grove Scene
10,LyonCountySeal,lyon/popups/Lyon1Marker.png,120,117,,,,,Blood Run Artifact
11,Locust,lyon/popups/LocustMarker.png,150,70,,,,,Wikipedia Locust Illustration
