id,markername,layergroup,markertype,coords,iconname,clickable,draggable,keyboard,title,zindexoffset,opacity,riseonhover,riseoffset,location
1,Whmarker,,point,"41.9715997839848,-91.668848991394",WHTextLogo,,,,Williams And Hunting Co,,1,,,
2,MidlandMarker,,point,"41.974256,-91.662294",Midland,,,,Iowa Midland Supply Inc.,,1,,,
3,VetsMarker,,point,"41.976720578,-91.6710591316",VetsIcon,,,,Veterans Memorial Building,,1,,,
4,WoodbineMarker,,point,"41.7387846530874,-95.7070541381835",WoodbineIcon,,,,Woodbine Twiner Masthead,,1,,,
5,PersiaYorkshireMarker,,point,"41.5494945961141,-95.5803680419921",PersiaYorkshireIcon,,,,Persia and Yorkshire,,1,,,
6,LoganMarker,,point,"41.607484919548,-95.7818126678466",LoganIcon,,,,Logan,,1,,,
7,Cedar1898TornadoMarker,tornadoes,line,"[41.87309067492986,-91.14876766530863],[41.88369136394671,-91.13291716852328],[41.88785019548606,-91.11752600613018],[41.88903236066313,-91.10671025205070],[41.88948587592965,-91.08515680241602],[41.89678752024777,-91.06068446824604],[41.89565506246908,-91.04843836373004],[41.89663294336921,-91.04062153405235],[41.90372055060612,-91.03070368335445],[41.91476038229689,-90.95837572027072],[41.91490897314944,-90.95459910639092],[41.91673554536686,-90.94018289385917],[41.91921952947151,-90.93440526480154],[41.92073632245679,-90.92135184874788]",Cedar1898TornadoIcon,,,,Cedar 1898 Tornado,,1,,,
8,Cedar1965TornadoMarker,tornadoes,line,"[41.80016907075043,-91.06276441021384],[41.81467142960757,-91.03983257089766],[41.84914390799869,-90.98595969485159],[41.8527369101403,-90.97999397314413],[41.86953567991137,-90.95711181833796],[41.87487880563377,-90.95253001407983],[41.88364914709426,-90.94077440786104],[41.88967599596352,-90.93683471975039],[41.89986933536214,-90.92329835580601],[41.9133585899547,-90.90855553608368]",Cedar1965TornadoIcon,,,,Cedar 1965 Tornado,,1,,,
9,Ida1891FloodMarker,,point,"42.35930500076174, -95.47428131103516",IdaGroveIcon,,,,Ida Grove,,1,,,
10,Lyon1Marker,,point,"43.46076918056921, -96.58111954573542",LyonCountySeal,,,,Blood River National Historic Landmark,,1,,,
11,LocustMarker,,point,"43.3469, -96.11588289029896",Locust,,,,"Rocky Mountain locust, Melanoplus spretus",,1,,,
12,EarlyFloodsMarker,,point,"43.272081037026076, -96.25221634749323
",BIsonHunter,,,,English Bison Hunter,,1,,,
13,LyonFlood2014Marker,,point,"43.4417,- 96.1686",WaterOverRoad,,,,Water Over Road,,1,,,
