id,viewname,markername,iconname,popupname,offset_x,offset_y
1,linn,Whmarker,WHTextLogo,Whpopup,-20,15
2,linn,MidlandMarker,Midland,MidlandPopup,20,20
3,linn,VetsMarker,VetsIcon,VetsPopup,175,225
4,harrison,WoodbineMarker,WoodbineIcon,WoodbinePopup,,
5,harrison,PersiaYorkshireMarker,PersiaYorkshireIcon,PersiaYorkshirePopup,,
6,harrison,LoganMarker,LoganIcon,LoganPopup,,
7,cedar,Cedar1898TornadoMarker,Cedar1898TornadoIcon,Cedar1898TornadoPopup,,
8,cedar,Cedar1965TornadoMarker,Cedar1965TornadoIcon,Cedar1965TornadoPopup,,
9,ida,Ida1891FloodMarker,IdaGroveIcon,IdaGrove1891FloodPopup,,
10,lyon,Lyon1Marker,LyonCountySeal,Lyon1Popup,,
11,lyon,LocustMarker,Locust,LocustsPopup,,
12,lyon,EarlyFloodsMarker,BIsonHunter,EarlyFloodsPopup,,
